                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0019,                 3.5501,                 2.7153,                 1.6338,                0.65209,                0.24481,                0.23712,                0.12405,                0.65205,                0.22622,                0.21478,                  0.099,                 1.8922,                 3.2855,                 1.8137,                 1.5185,             0.00017516,             0.00017516,             0.00017516
                      2,                 1.8762,                 3.2438,                 1.9073,                 1.5088,                0.59339,                0.28193,                 0.2759,                0.14537,                0.58169,                0.25859,                0.24701,                0.11565,                 1.8654,                 3.2327,                 1.7506,                 1.5288,              0.0003158,              0.0003158,              0.0003158
                      3,                 1.8487,                 3.1918,                 1.7389,                 1.4905,                 0.4915,                0.31605,                0.30124,                0.15899,                0.55724,                0.28677,                0.27255,                0.12475,                 1.8289,                 3.1808,                 1.6167,                 1.4959,             0.00042171,             0.00042171,             0.00042171
                      4,                 1.8219,                 3.1437,                 1.6333,                 1.4721,                0.60231,                0.34393,                0.32856,                0.17474,                0.62101,                0.31161,                0.29696,                0.13527,                 1.8057,                 3.1514,                 1.5285,                 1.4618,             0.00036978,             0.00036978,             0.00036978
                      5,                 1.7943,                 3.0996,                 1.5566,                 1.4484,                0.53433,                0.36682,                0.35426,                0.19117,                 0.5125,                0.33569,                0.31479,                0.14491,                 1.7756,                 3.1299,                 1.5016,                 1.4526,              0.0003177,              0.0003177,              0.0003177
