                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6555,                 2.8677,                 1.2848,                  1.354,                0.51707,                 0.4938,                0.46707,                0.25762,                 0.4983,                0.44402,                0.41364,                0.19305,                 1.6922,                 2.9473,                 1.2409,                 1.4128,              0.0088615,              0.0088615,              0.0088615
                     25,                  1.655,                 2.8699,                 1.2809,                  1.349,                0.53319,                0.47895,                 0.4679,                0.26089,                0.50328,                0.44531,                0.41769,                0.19692,                  1.695,                 2.9383,                 1.2365,                   1.41,               0.008812,               0.008812,               0.008812
                     26,                 1.6546,                 2.8729,                 1.2832,                 1.3519,                0.54849,                0.48556,                0.47554,                0.26358,                0.52218,                 0.4399,                  0.421,                0.19556,                 1.6891,                 2.9382,                  1.225,                 1.4142,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6519,                  2.868,                 1.2747,                 1.3523,                0.53805,                0.48984,                0.47243,                0.26317,                0.50374,                0.44824,                0.42053,                0.19569,                 1.6801,                 2.9299,                 1.2281,                 1.4126,               0.008713,               0.008713,               0.008713
                     28,                 1.6472,                 2.8622,                 1.2663,                 1.3487,                0.54206,                 0.4898,                0.47685,                0.26524,                0.53458,                0.44085,                0.42504,                0.19784,                 1.6811,                 2.9308,                 1.2181,                 1.4111,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6476,                  2.856,                 1.2696,                 1.3478,                0.53731,                0.50916,                0.48077,                0.26796,                0.51435,                0.45513,                0.42774,                0.20048,                 1.6847,                 2.9317,                 1.2139,                 1.4092,               0.008614,               0.008614,               0.008614
                     30,                 1.6429,                 2.8467,                 1.2573,                 1.3432,                0.54249,                0.50678,                0.48422,                0.26899,                0.50833,                0.46219,                 0.4311,                0.20199,                 1.6755,                  2.924,                 1.2169,                 1.4093,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.6328,                 2.8447,                 1.2571,                 1.3429,                0.53505,                0.50762,                 0.4833,                0.27007,                0.50991,                0.45944,                0.43186,                0.20259,                 1.6788,                 2.9237,                 1.2159,                 1.4106,               0.008515,               0.008515,               0.008515
                     32,                 1.6339,                 2.8395,                 1.2492,                 1.3407,                0.55723,                0.51032,                0.48986,                0.27183,                0.51156,                0.46638,                0.43454,                0.20388,                 1.6786,                 2.9207,                 1.2054,                 1.4064,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.6353,                 2.8313,                 1.2456,                 1.3417,                0.55026,                0.50443,                0.49008,                0.27482,                0.52404,                0.45972,                0.44014,                0.20767,                 1.6767,                 2.9235,                  1.208,                 1.4074,               0.008416,               0.008416,               0.008416
                     34,                 1.6308,                 2.8388,                 1.2446,                 1.3395,                0.54672,                0.51418,                0.49435,                0.27707,                0.52081,                0.46774,                0.44127,                0.20729,                 1.6764,                 2.9198,                  1.202,                 1.4055,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.6331,                 2.8369,                 1.2424,                 1.3398,                 0.5443,                0.51614,                0.49175,                0.27473,                0.52072,                0.45849,                0.43841,                0.20618,                 1.6729,                 2.9157,                 1.2024,                 1.4028,               0.008317,               0.008317,               0.008317
                     36,                 1.6314,                 2.8355,                 1.2392,                 1.3384,                 0.5392,                0.51497,                0.49179,                0.27604,                0.51974,                0.46833,                0.44053,                0.20767,                 1.6686,                 2.9153,                 1.2013,                 1.3994,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.6278,                  2.828,                 1.2362,                 1.3366,                0.55661,                0.51801,                0.49162,                0.27592,                0.51928,                0.47864,                0.44123,                0.20783,                 1.6689,                 2.9119,                 1.1987,                  1.399,               0.008218,               0.008218,               0.008218
                     38,                  1.621,                 2.8211,                 1.2374,                  1.333,                 0.5412,                 0.5149,                0.49047,                0.27489,                0.51591,                0.46893,                0.43772,                0.20557,                 1.6709,                 2.9129,                 1.1959,                 1.4003,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.6196,                 2.8133,                 1.2225,                 1.3293,                0.56845,                0.51418,                0.49632,                0.27784,                0.54207,                0.46504,                0.44323,                0.20824,                 1.6705,                 2.9096,                  1.192,                 1.3996,               0.008119,               0.008119,               0.008119
                     40,                 1.6263,                 2.8223,                 1.2343,                 1.3338,                0.55475,                 0.5162,                0.49704,                 0.2796,                0.54595,                0.46161,                0.44462,                 0.2096,                 1.6683,                 2.9108,                  1.193,                 1.4001,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.6235,                 2.8148,                 1.2267,                 1.3326,                0.54796,                0.52123,                0.49772,                0.27958,                 0.5108,                0.47796,                0.44535,                0.20869,                 1.6669,                 2.9121,                 1.1918,                 1.3999,                0.00802,                0.00802,                0.00802
                     42,                 1.6201,                  2.814,                 1.2253,                 1.3287,                0.55178,                0.50856,                0.49783,                 0.2798,                0.51968,                0.46561,                0.44392,                0.20934,                 1.6688,                 2.9122,                 1.1877,                 1.3978,              0.0079705,              0.0079705,              0.0079705
