                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.5496,                 2.6844,                 1.1288,                 1.2863,                0.55615,                0.53302,                0.50583,                0.28633,                 0.5278,                0.47951,                 0.4504,                0.21449,                 1.6626,                 2.9185,                 1.1681,                 1.3943,                0.00505,                0.00505,                0.00505
                    102,                 1.5453,                  2.684,                 1.1281,                  1.283,                0.55745,                0.53279,                0.50536,                 0.2863,                0.53055,                0.48007,                 0.4504,                0.21427,                 1.6629,                 2.9189,                 1.1679,                 1.3944,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.5408,                 2.6799,                 1.1293,                 1.2814,                0.55716,                0.53453,                0.50548,                0.28638,                0.52099,                0.48352,                 0.4501,                0.21448,                  1.663,                 2.9191,                 1.1676,                 1.3945,               0.004951,               0.004951,               0.004951
                    104,                  1.539,                 2.6778,                 1.1218,                 1.2806,                0.55591,                0.53482,                0.50602,                0.28642,                0.52007,                0.48282,                0.45017,                0.21467,                 1.6631,                 2.9194,                 1.1676,                 1.3945,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.5458,                 2.6806,                 1.1236,                 1.2829,                0.55938,                0.53449,                0.50574,                0.28667,                0.52411,                0.48264,                0.45046,                0.21466,                 1.6634,                 2.9197,                 1.1673,                 1.3948,               0.004852,               0.004852,               0.004852
                    106,                 1.5431,                 2.6788,                 1.1181,                 1.2796,                0.56035,                0.53372,                0.50548,                 0.2862,                0.52458,                  0.484,                0.45003,                0.21448,                 1.6633,                 2.9198,                 1.1672,                 1.3949,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.5352,                 2.6684,                 1.1162,                 1.2777,                 0.5586,                0.53542,                 0.5058,                0.28675,                0.52503,                0.48399,                0.45066,                 0.2148,                 1.6635,                 2.9205,                 1.1668,                 1.3951,               0.004753,               0.004753,               0.004753
                    108,                 1.5392,                 2.6705,                 1.1149,                 1.2769,                0.55525,                0.53637,                0.50612,                0.28685,                0.52475,                0.48387,                0.45074,                0.21496,                 1.6637,                 2.9207,                  1.167,                  1.395,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.5367,                 2.6642,                 1.1127,                 1.2751,                0.55366,                0.53705,                0.50509,                0.28599,                0.52466,                0.48436,                0.44988,                0.21426,                 1.6641,                 2.9209,                 1.1668,                 1.3951,               0.004654,               0.004654,               0.004654
                    110,                 1.5407,                  2.674,                 1.1216,                 1.2773,                0.55592,                0.53625,                 0.5056,                0.28661,                0.52755,                0.48508,                0.45122,                 0.2148,                 1.6642,                 2.9211,                 1.1665,                 1.3952,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.5339,                 2.6656,                 1.1139,                 1.2745,                0.55872,                0.53656,                0.50622,                0.28644,                0.53007,                0.48408,                0.45125,                0.21442,                 1.6644,                 2.9213,                 1.1665,                 1.3953,               0.004555,               0.004555,               0.004555
                    112,                 1.5352,                 2.6647,                 1.1168,                 1.2782,                0.55906,                0.53632,                0.50685,                 0.2868,                0.53136,                0.48523,                0.45339,                0.21522,                 1.6646,                 2.9218,                 1.1662,                 1.3955,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.5371,                 2.6627,                 1.1164,                 1.2792,                0.55855,                0.53637,                0.50709,                0.28678,                0.53238,                0.48657,                0.45381,                0.21515,                 1.6648,                 2.9222,                 1.1658,                 1.3957,               0.004456,               0.004456,               0.004456
                    114,                 1.5341,                 2.6627,                 1.1112,                 1.2749,                0.55992,                0.53593,                0.50676,                0.28658,                0.53269,                0.48602,                0.45312,                 0.2149,                 1.6649,                 2.9228,                 1.1658,                 1.3959,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.5321,                  2.656,                  1.108,                 1.2758,                0.56111,                0.53587,                0.50677,                0.28642,                0.53115,                0.48644,                0.45291,                0.21494,                 1.6651,                 2.9234,                 1.1654,                  1.396,               0.004357,               0.004357,               0.004357
                    116,                 1.5329,                 2.6542,                 1.1095,                 1.2742,                0.56064,                0.53694,                0.50725,                0.28653,                0.52896,                0.48774,                0.45304,                0.21498,                 1.6654,                 2.9237,                 1.1652,                 1.3962,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.5274,                 2.6567,                 1.1042,                 1.2722,                0.56019,                0.53715,                0.50733,                0.28688,                0.52789,                0.48808,                0.45293,                 0.2153,                 1.6657,                 2.9243,                 1.1651,                 1.3965,               0.004258,               0.004258,               0.004258
                    118,                 1.5279,                 2.6564,                 1.1039,                 1.2727,                0.55671,                  0.537,                0.50714,                0.28697,                0.52657,                0.48855,                0.45316,                0.21515,                 1.6662,                 2.9247,                 1.1649,                 1.3967,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.5281,                 2.6543,                 1.1071,                 1.2734,                0.55683,                0.53679,                0.50782,                0.28738,                0.52611,                0.48984,                0.45382,                0.21544,                 1.6664,                  2.925,                 1.1647,                 1.3969,               0.004159,               0.004159,               0.004159
                    120,                 1.5262,                 2.6483,                 1.1049,                 1.2723,                0.55739,                0.53662,                0.50786,                  0.287,                0.52799,                0.48938,                0.45413,                0.21527,                 1.6669,                 2.9257,                 1.1646,                 1.3971,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.5248,                 2.6438,                 1.1033,                 1.2685,                0.55727,                0.53669,                0.50787,                0.28752,                0.52978,                0.48707,                0.45363,                0.21554,                 1.6671,                 2.9263,                 1.1641,                 1.3973,                0.00406,                0.00406,                0.00406
                    122,                 1.5192,                 2.6386,                 1.0981,                 1.2675,                0.56005,                 0.5357,                0.50744,                0.28704,                0.53346,                0.48514,                0.45324,                0.21513,                 1.6676,                 2.9269,                 1.1639,                 1.3975,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.5235,                 2.6461,                 1.1001,                 1.2703,                0.55893,                0.53608,                0.50701,                0.28696,                0.53326,                0.48442,                0.45239,                0.21544,                 1.6678,                 2.9275,                  1.164,                 1.3977,               0.003961,               0.003961,               0.003961
                    124,                 1.5215,                 2.6361,                  1.101,                 1.2706,                0.55781,                0.53573,                 0.5076,                 0.2869,                 0.5338,                0.48391,                0.45222,                 0.2154,                 1.6682,                  2.928,                 1.1638,                 1.3979,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.5186,                 2.6403,                 1.0987,                 1.2691,                0.55789,                0.53678,                0.50776,                0.28688,                0.53549,                0.48309,                0.45168,                0.21511,                 1.6686,                 2.9284,                 1.1636,                 1.3982,               0.003862,               0.003862,               0.003862
                    126,                 1.5218,                 2.6412,                 1.0983,                 1.2672,                0.55624,                 0.5369,                0.50727,                0.28701,                0.53567,                0.48347,                0.45184,                0.21529,                  1.669,                 2.9291,                 1.1635,                 1.3985,              0.0038125,              0.0038125,              0.0038125
                    127,                  1.519,                 2.6394,                 1.0968,                 1.2669,                0.55487,                0.53805,                0.50804,                0.28707,                 0.5345,                0.48336,                0.45176,                0.21507,                 1.6693,                 2.9296,                 1.1636,                 1.3987,               0.003763,               0.003763,               0.003763
                    128,                 1.5172,                 2.6387,                 1.0949,                 1.2669,                0.55292,                0.53755,                0.50739,                0.28714,                 0.5347,                0.48378,                0.45206,                0.21498,                 1.6698,                 2.9303,                 1.1636,                  1.399,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.5164,                 2.6291,                 1.0952,                 1.2627,                0.55039,                0.53785,                0.50756,                0.28712,                0.53498,                 0.4839,                0.45195,                0.21486,                 1.6701,                 2.9306,                 1.1637,                  1.399,               0.003664,               0.003664,               0.003664
                    130,                 1.5136,                 2.6295,                 1.0936,                 1.2627,                0.54976,                0.53877,                0.50765,                0.28724,                0.53551,                0.48331,                0.45278,                0.21502,                 1.6703,                 2.9312,                 1.1638,                 1.3993,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.5122,                 2.6247,                 1.0916,                 1.2629,                0.54816,                0.53843,                0.50726,                0.28683,                0.53642,                0.48265,                0.45235,                0.21489,                 1.6708,                 2.9321,                 1.1634,                 1.3995,               0.003565,               0.003565,               0.003565
                    132,                 1.5113,                 2.6211,                 1.0866,                 1.2637,                0.54829,                0.53827,                0.50757,                0.28698,                0.53793,                0.48275,                0.45271,                0.21521,                 1.6711,                 2.9328,                 1.1633,                 1.3997,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.5171,                  2.628,                 1.0841,                 1.2631,                0.54984,                0.53741,                0.50753,                0.28696,                0.53695,                0.48227,                0.45192,                0.21496,                 1.6714,                 2.9336,                 1.1631,                 1.3999,               0.003466,               0.003466,               0.003466
                    134,                 1.5122,                 2.6233,                 1.0914,                 1.2615,                0.55278,                0.53855,                0.50961,                0.28782,                0.53785,                0.48224,                0.45349,                0.21569,                 1.6718,                 2.9344,                  1.163,                 1.4001,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.5107,                 2.6245,                 1.0849,                 1.2635,                0.55313,                 0.5374,                0.50833,                0.28725,                0.53492,                0.48404,                0.45246,                0.21561,                  1.672,                  2.935,                 1.1632,                 1.4005,               0.003367,               0.003367,               0.003367
                    136,                 1.5082,                  2.615,                 1.0809,                  1.257,                0.55458,                0.53654,                0.50881,                0.28762,                0.53638,                0.48263,                0.45337,                0.21593,                 1.6725,                 2.9358,                 1.1632,                 1.4006,              0.0033175,              0.0033175,              0.0033175
                    137,                  1.508,                 2.6161,                 1.0806,                 1.2592,                0.55416,                0.53562,                  0.508,                0.28717,                0.53335,                0.48532,                0.45259,                0.21525,                 1.6729,                 2.9365,                  1.163,                 1.4009,               0.003268,               0.003268,               0.003268
                    138,                 1.5057,                 2.6149,                 1.0806,                 1.2569,                0.55445,                0.53467,                0.50828,                0.28719,                0.53306,                0.48487,                0.45283,                0.21524,                 1.6734,                 2.9371,                 1.1629,                 1.4011,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.5015,                 2.6043,                 1.0733,                 1.2565,                0.55338,                0.53454,                0.50822,                 0.2869,                0.53234,                0.48557,                0.45239,                0.21522,                 1.6739,                 2.9377,                 1.1632,                 1.4015,               0.003169,               0.003169,               0.003169
                    140,                 1.5014,                 2.6069,                 1.0771,                 1.2555,                0.55131,                0.53592,                0.50823,                0.28677,                 0.5359,                 0.4836,                0.45261,                0.21541,                 1.6744,                 2.9383,                 1.1632,                 1.4018,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.4999,                 2.6061,                 1.0767,                  1.257,                0.55163,                0.53578,                0.50789,                0.28639,                0.52885,                0.48636,                0.45197,                0.21514,                 1.6748,                 2.9391,                 1.1632,                  1.402,                0.00307,                0.00307,                0.00307
                    142,                 1.4957,                 2.5969,                 1.0719,                 1.2528,                0.55407,                0.53618,                0.50862,                0.28669,                0.53083,                0.48495,                0.45232,                0.21532,                 1.6751,                 2.9397,                 1.1631,                 1.4022,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.4987,                 2.6023,                 1.0734,                 1.2519,                0.55591,                0.53462,                  0.508,                0.28642,                0.53678,                0.48234,                0.45183,                0.21517,                 1.6754,                 2.9404,                 1.1633,                 1.4024,               0.002971,               0.002971,               0.002971
                    144,                 1.4984,                 2.6027,                 1.0712,                  1.257,                0.55508,                0.53545,                0.50803,                 0.2862,                0.53469,                0.48289,                0.45181,                0.21531,                 1.6758,                 2.9409,                  1.163,                 1.4026,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.4981,                 2.6043,                 1.0776,                 1.2541,                0.55348,                 0.5348,                0.50795,                0.28639,                0.53065,                 0.4833,                0.45183,                0.21546,                 1.6762,                 2.9416,                 1.1629,                 1.4029,               0.002872,               0.002872,               0.002872
                    146,                 1.4999,                 2.6041,                 1.0741,                  1.257,                0.55377,                0.53503,                0.50821,                0.28588,                0.52638,                0.48526,                 0.4519,                0.21531,                 1.6769,                 2.9425,                  1.163,                 1.4035,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.4965,                 2.5988,                 1.0698,                 1.2554,                0.55608,                0.53454,                0.50762,                0.28551,                0.52539,                 0.4849,                0.45139,                 0.2151,                 1.6773,                  2.943,                 1.1633,                 1.4038,               0.002773,               0.002773,               0.002773
                    148,                 1.4917,                 2.5912,                 1.0685,                 1.2481,                0.55646,                0.53343,                0.50741,                0.28533,                0.52659,                0.48452,                0.45102,                0.21489,                 1.6778,                 2.9441,                 1.1634,                  1.404,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.4922,                 2.5894,                 1.0663,                 1.2514,                0.55667,                 0.5316,                0.50758,                0.28588,                0.52699,                0.48421,                0.45181,                0.21509,                 1.6782,                 2.9446,                 1.1634,                 1.4043,               0.002674,               0.002674,               0.002674
                    150,                 1.4914,                 2.5923,                 1.0682,                 1.2502,                0.55724,                0.53077,                0.50715,                0.28558,                0.52638,                0.48446,                0.45151,                0.21465,                 1.6787,                 2.9455,                 1.1638,                 1.4046,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.4909,                 2.5903,                 1.0626,                 1.2486,                 0.5585,                0.53075,                0.50722,                0.28538,                0.52468,                 0.4849,                0.45139,                0.21489,                 1.6793,                 2.9462,                 1.1638,                 1.4049,               0.002575,               0.002575,               0.002575
                    152,                 1.4875,                 2.5825,                  1.068,                 1.2507,                0.55725,                0.53037,                0.50657,                 0.2852,                0.52274,                0.48524,                0.45106,                0.21458,                 1.6797,                  2.947,                 1.1638,                 1.4053,              0.0025255,              0.0025255,              0.0025255
                    153,                  1.488,                 2.5916,                 1.0622,                 1.2472,                0.55818,                0.52906,                0.50761,                0.28575,                 0.5212,                0.48611,                0.45188,                0.21487,                 1.6804,                 2.9476,                 1.1638,                 1.4057,               0.002476,               0.002476,               0.002476
                    154,                 1.4857,                 2.5774,                 1.0613,                 1.2459,                 0.5584,                0.52778,                0.50681,                0.28519,                0.51974,                0.48648,                0.45084,                0.21431,                 1.6808,                 2.9483,                 1.1641,                  1.406,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.4834,                 2.5799,                 1.0619,                 1.2461,                0.55706,                0.52847,                 0.5071,                0.28548,                0.52081,                0.48537,                0.45132,                0.21448,                 1.6813,                 2.9492,                 1.1642,                 1.4062,               0.002377,               0.002377,               0.002377
                    156,                 1.4809,                 2.5735,                 1.0567,                 1.2437,                0.55563,                0.52852,                0.50643,                 0.2854,                0.52236,                0.48476,                0.45075,                0.21417,                 1.6819,                 2.9501,                  1.164,                 1.4066,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.4842,                 2.5808,                 1.0576,                 1.2488,                0.55699,                0.52749,                 0.5065,                0.28529,                0.52226,                0.48391,                0.45065,                0.21437,                 1.6825,                 2.9512,                  1.164,                 1.4069,               0.002278,               0.002278,               0.002278
                    158,                 1.4791,                 2.5753,                 1.0542,                 1.2442,                0.55796,                0.52788,                0.50659,                0.28502,                 0.5173,                0.48552,                0.45106,                0.21425,                 1.6829,                  2.952,                 1.1642,                 1.4071,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.4753,                  2.565,                  1.052,                 1.2422,                0.55619,                0.52915,                0.50617,                0.28516,                0.52041,                0.48363,                0.45084,                0.21448,                 1.6834,                 2.9528,                 1.1643,                 1.4076,               0.002179,               0.002179,               0.002179
                    160,                 1.4768,                 2.5693,                  1.052,                 1.2456,                0.55707,                0.52904,                0.50594,                0.28476,                0.52271,                0.48398,                0.45069,                0.21438,                 1.6838,                 2.9539,                 1.1644,                 1.4079,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.4771,                 2.5664,                 1.0539,                 1.2432,                0.55649,                0.52925,                 0.5055,                 0.2844,                 0.5231,                0.48438,                0.45021,                0.21407,                 1.6844,                 2.9546,                 1.1643,                 1.4082,                0.00208,                0.00208,                0.00208
