                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6726,                 1.3172,                 1.3609,                0.54192,                  0.473,                0.46965,                0.26254,                 1.6898,                  1.243,                 1.4072,               0.006634,               0.006634,               0.006634
                     36,                 1.6715,                 1.3104,                 1.3619,                0.52889,                0.48308,                0.47005,                0.26404,                 1.6912,                 1.2373,                 1.4106,               0.006535,               0.006535,               0.006535
                     37,                 1.6691,                 1.3132,                 1.3619,                 0.5469,                0.47558,                0.46881,                0.26223,                 1.6873,                 1.2367,                 1.4091,               0.006436,               0.006436,               0.006436
                     38,                 1.6664,                  1.311,                 1.3609,                0.52755,                0.48204,                0.47231,                0.26455,                 1.6867,                 1.2344,                 1.4088,               0.006337,               0.006337,               0.006337
                     39,                 1.6642,                 1.2971,                 1.3543,                0.55978,                0.47529,                0.47591,                0.26614,                 1.6863,                 1.2322,                 1.4073,               0.006238,               0.006238,               0.006238
                     40,                 1.6619,                 1.3042,                  1.356,                0.54803,                0.48246,                0.47561,                0.26629,                 1.6843,                 1.2303,                 1.4075,               0.006139,               0.006139,               0.006139
                     41,                 1.6625,                 1.2938,                 1.3544,                 0.5296,                0.49834,                0.47857,                0.26676,                 1.6849,                   1.23,                 1.4067,                0.00604,                0.00604,                0.00604
                     42,                 1.6584,                 1.2924,                 1.3534,                0.53753,                0.49418,                0.48052,                0.26894,                 1.6854,                 1.2265,                  1.406,               0.005941,               0.005941,               0.005941
                     43,                 1.6564,                 1.2907,                 1.3512,                0.53609,                0.49351,                0.47915,                0.26803,                 1.6865,                 1.2269,                 1.4065,               0.005842,               0.005842,               0.005842
                     44,                 1.6546,                 1.2834,                 1.3499,                0.54214,                0.50072,                0.48041,                 0.2686,                 1.6856,                 1.2254,                 1.4064,               0.005743,               0.005743,               0.005743
                     45,                 1.6509,                 1.2804,                 1.3515,                0.54483,                0.50347,                0.48205,                0.26986,                 1.6851,                 1.2228,                 1.4076,               0.005644,               0.005644,               0.005644
                     46,                 1.6566,                 1.2858,                 1.3525,                0.54316,                 0.4977,                0.48151,                0.26942,                 1.6853,                  1.223,                 1.4073,               0.005545,               0.005545,               0.005545
                     47,                 1.6487,                 1.2749,                 1.3482,                0.54592,                0.49954,                 0.4827,                 0.2708,                 1.6829,                 1.2224,                 1.4065,               0.005446,               0.005446,               0.005446
                     48,                 1.6486,                 1.2756,                 1.3464,                0.55157,                0.49101,                0.48532,                0.27246,                 1.6817,                 1.2207,                 1.4047,               0.005347,               0.005347,               0.005347
                     49,                  1.647,                  1.271,                 1.3417,                0.56342,                 0.4871,                0.48598,                0.27296,                 1.6814,                 1.2192,                 1.4032,               0.005248,               0.005248,               0.005248
                     50,                 1.6422,                 1.2696,                 1.3443,                0.56926,                0.49571,                0.48607,                 0.2732,                 1.6804,                  1.217,                 1.4034,               0.005149,               0.005149,               0.005149
                     51,                 1.6431,                 1.2636,                 1.3439,                0.56077,                0.49688,                0.48563,                0.27288,                   1.68,                 1.2165,                 1.4031,                0.00505,                0.00505,                0.00505
                     52,                 1.6427,                 1.2631,                 1.3432,                0.55946,                0.50111,                0.48677,                 0.2742,                 1.6792,                  1.216,                 1.4027,               0.004951,               0.004951,               0.004951
                     53,                 1.6385,                 1.2641,                 1.3412,                0.54719,                 0.5025,                0.48633,                0.27423,                 1.6788,                  1.215,                 1.4022,               0.004852,               0.004852,               0.004852
                     54,                 1.6362,                 1.2522,                 1.3381,                0.55913,                0.50385,                0.48587,                0.27388,                 1.6778,                 1.2131,                 1.4011,               0.004753,               0.004753,               0.004753
                     55,                  1.634,                 1.2529,                 1.3382,                0.55728,                0.50559,                0.48801,                 0.2743,                 1.6776,                 1.2117,                 1.4011,               0.004654,               0.004654,               0.004654
                     56,                 1.6272,                 1.2501,                 1.3367,                 0.5507,                0.50953,                0.48852,                0.27384,                 1.6778,                 1.2102,                 1.4012,               0.004555,               0.004555,               0.004555
                     57,                 1.6319,                 1.2526,                 1.3345,                0.55653,                0.50839,                0.48965,                0.27519,                 1.6771,                 1.2091,                 1.4012,               0.004456,               0.004456,               0.004456
                     58,                 1.6262,                 1.2417,                 1.3322,                0.54491,                0.51171,                0.48903,                0.27513,                 1.6768,                 1.2083,                 1.4008,               0.004357,               0.004357,               0.004357
                     59,                 1.6297,                 1.2497,                 1.3356,                0.54946,                0.51211,                0.48954,                0.27559,                 1.6766,                 1.2078,                 1.4009,               0.004258,               0.004258,               0.004258
                     60,                 1.6311,                 1.2415,                 1.3344,                  0.549,                  0.516,                0.49013,                0.27621,                 1.6763,                 1.2071,                 1.4008,               0.004159,               0.004159,               0.004159
                     61,                 1.6299,                 1.2413,                  1.333,                0.54802,                0.51348,                0.49025,                0.27554,                 1.6762,                 1.2064,                 1.4005,                0.00406,                0.00406,                0.00406
                     62,                 1.6266,                 1.2394,                 1.3342,                0.54451,                0.51899,                0.49054,                0.27633,                 1.6761,                 1.2057,                 1.4007,               0.003961,               0.003961,               0.003961
                     63,                  1.628,                 1.2433,                 1.3323,                0.54587,                0.51898,                0.49165,                0.27677,                 1.6755,                 1.2051,                 1.4003,               0.003862,               0.003862,               0.003862
                     64,                 1.6204,                 1.2284,                 1.3319,                0.54386,                0.51834,                0.49049,                 0.2761,                 1.6754,                 1.2047,                 1.4004,               0.003763,               0.003763,               0.003763
                     65,                 1.6233,                 1.2365,                 1.3333,                0.54327,                0.51785,                0.49024,                0.27604,                 1.6754,                 1.2042,                 1.4004,               0.003664,               0.003664,               0.003664
                     66,                 1.6205,                  1.231,                 1.3288,                0.54241,                0.51643,                0.49066,                0.27625,                 1.6755,                 1.2037,                 1.4005,               0.003565,               0.003565,               0.003565
                     67,                 1.6179,                 1.2264,                 1.3297,                0.54676,                0.51605,                0.49022,                0.27621,                 1.6754,                 1.2036,                 1.4004,               0.003466,               0.003466,               0.003466
                     68,                 1.6128,                 1.2185,                 1.3251,                0.54844,                0.51548,                0.49034,                0.27621,                 1.6754,                 1.2029,                 1.4002,               0.003367,               0.003367,               0.003367
                     69,                 1.6162,                 1.2235,                 1.3282,                0.54974,                 0.5152,                0.49161,                0.27664,                 1.6749,                 1.2023,                    1.4,               0.003268,               0.003268,               0.003268
                     70,                 1.6098,                 1.2176,                 1.3221,                0.55099,                0.51532,                0.49176,                0.27645,                  1.675,                  1.202,                 1.3999,               0.003169,               0.003169,               0.003169
                     71,                 1.6117,                 1.2141,                 1.3266,                 0.5519,                0.51646,                0.49259,                0.27656,                 1.6748,                 1.2016,                 1.3999,                0.00307,                0.00307,                0.00307
                     72,                 1.6076,                 1.2141,                 1.3222,                0.55279,                0.51536,                0.49181,                0.27602,                 1.6747,                 1.2013,                 1.3998,               0.002971,               0.002971,               0.002971
                     73,                 1.6068,                 1.2142,                 1.3232,                0.55283,                0.51714,                0.49214,                0.27603,                 1.6747,                  1.201,                 1.3998,               0.002872,               0.002872,               0.002872
                     74,                 1.6057,                 1.2062,                 1.3161,                0.55355,                0.51547,                0.49285,                 0.2763,                 1.6746,                 1.2005,                 1.3997,               0.002773,               0.002773,               0.002773
                     75,                  1.603,                 1.2031,                  1.318,                0.55569,                0.51429,                0.49256,                0.27612,                 1.6746,                    1.2,                 1.3995,               0.002674,               0.002674,               0.002674
                     76,                 1.6033,                  1.201,                   1.32,                0.55303,                0.51702,                0.49306,                0.27611,                 1.6747,                 1.1994,                 1.3996,               0.002575,               0.002575,               0.002575
